stk.v.10.0
# WrittenBy	OAS-NSLR
BEGIN Ephemeris
NumberOfCommandPoints	25
ScenarioEpoch	2024/10/8 4:0:0.000029
CentralBody	Earth
CoordinateSystem	Topocentric NEZ
AngleUnit	Degrees

EphemerisTimeAzEl

3600.000000	215.830444	41.676526
7200.000000	231.373954	33.226181
10799.999999	243.632222	22.918617
14399.999999	253.762690	11.546082
17999.999999	262.757305	-0.398921
21599.999999	271.438243	-12.581146
25199.999999	280.622814	-24.712095
28799.999998	291.364779	-36.443771
32399.999998	305.312535	-47.202717
35999.999998	324.997910	-55.866434
39599.999998	352.156126	-60.406407
43199.999997	21.787500	-58.912584
46799.999997	45.436471	-52.104737
50399.999997	62.032132	-42.253478
53999.999997	74.198662	-30.942817
57599.999997	84.051674	-18.980537
61199.999996	92.903847	-6.805457
64799.999996	101.660491	5.276169
68399.999996	111.116130	16.963333
71999.999996	122.155224	27.857872
75599.999996	135.857695	37.339894
79199.999995	153.270676	44.430534
82799.999995	174.288727	47.851086
86399.999995	196.272112	46.701662
89999.999995	215.667933	41.309993
END Ephemeris
