TAIUTC       28     UNIT(DAY, SEC)   FORMAT(I2,1X,A3,I3,4X,F20.12,3X,F10.6)
730314    2441755.500000000000      .575500    .00000   .11200
730315    2441756.500000000000      .572000   -.00300   .11300
730316    2441757.500000000000      .568500   -.00500   .11400
730317    2441758.500000000000      .565000   -.00800   .11400
730318    2441759.500000000000      .561500   -.01000   .11500
730319    2441760.500000000000      .557900   -.01200   .11600
730320    2441761.500000000000      .554400   -.01500   .11700
730321    2441762.500000000000      .550800   -.01700   .11800
730322    2441763.500000000000      .547300   -.02000   .11900
730323    2441764.500000000000      .543700   -.02200   .12000
730324    2441765.500000000000      .540100   -.02400   .12000
730325    2441766.500000000000      .536500   -.02700   .12100
730326    2441767.500000000000      .533000   -.02900   .12200
730327    2441768.500000000000      .529400   -.03200   .12300
730328    2441769.500000000000      .525800   -.03400   .12400
730329    2441770.500000000000      .522200   -.03600   .12500
730330    2441771.500000000000      .518600   -.03900   .12700
730331    2441772.500000000000      .514900   -.04100   .12800
730401    2441773.500000000000      .511300   -.04400   .12900
730402    2441774.500000000000      .507700   -.04600   .13100
730403    2441775.500000000000      .504100   -.04800   .13200
730404    2441776.500000000000      .500600   -.05100   .13300
730405    2441777.500000000000      .497000   -.05300   .13400
730406    2441778.500000000000      .493500   -.05600   .13600
730407    2441779.500000000000      .489900   -.05800   .13700
730408    2441780.500000000000      .486400   -.06100   .13900
730409    2441781.500000000000      .482900   -.06300   .14100
730410    2441782.500000000000      .479400   -.06600   .14300
730411    2441783.500000000000      .475900   -.06800   .14500
730412    2441784.500000000000      .472400   -.07100   .14700
730413    2441785.500000000000      .468900   -.07300   .14800
730414    2441786.500000000000      .465500   -.07600   .15000
730415    2441787.500000000000      .462000   -.07800   .15200
730416    2441788.500000000000      .458600   -.08100   .15400
730417    2441789.500000000000      .455100   -.08300   .15600
730418    2441790.500000000000      .451700   -.08500   .15800
730419    2441791.500000000000      .448300   -.08600   .16000
730420    2441792.500000000000      .444800   -.08800   .16200
730421    2441793.500000000000      .441400   -.09000   .16400
730422    2441794.500000000000      .438000   -.09200   .16600
730423    2441795.500000000000      .434600   -.09300   .16800
730424    2441796.500000000000      .431200   -.09500   .17000
730425    2441797.500000000000      .427700   -.09700   .17200
730426    2441798.500000000000      .424300   -.09800   .17400
730427    2441799.500000000000      .420900   -.10000   .17600
730428    2441800.500000000000      .417500   -.10100   .17800
730429    2441801.500000000000      .414100   -.10200   .18000
730430    2441802.500000000000      .410800   -.10300   .18100
730501    2441803.500000000000      .407400   -.10400   .18300
730502    2441804.500000000000      .404000   -.10600   .18500
730503    2441805.500000000000      .400600   -.10700   .18700
730504    2441806.500000000000      .397200   -.10800   .18900
730505    2441807.500000000000      .393900   -.10900   .19000
730506    2441808.500000000000      .390500   -.11000   .19200
730507    2441809.500000000000      .387100   -.11100   .19400
730508    2441810.500000000000      .383800   -.11200   .19600
730509    2441811.500000000000      .380500   -.11200   .19800
730510    2441812.500000000000      .377100   -.11300   .20000
730511    2441813.500000000000      .373800   -.11300   .20200
730512    2441814.500000000000      .370500   -.11400   .20400
730513    2441815.500000000000      .367200   -.11400   .20500
730514    2441816.500000000000      .364000   -.11500   .20700
730515    2441817.500000000000      .360700   -.11500   .20900
730516    2441818.500000000000      .357500   -.11600   .21100
730517    2441819.500000000000      .354200   -.11600   .21300
